T/K,lnhc,IL,Normalized SMILES,RANDOM,hc
293.15,5.725217755,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9284,306.4999999
298.15,5.730424406,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9285,308.1000001
303.15,5.735926928,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9286,309.8
308.15,5.741399338,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9287,311.4999999
313.15,5.746841964,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9288,313.2
318.15,5.752572639,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9289,315.0000001
323.15,5.75827066,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9290,316.8
328.15,5.764250221,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9291,318.6999999
333.15,5.77019424,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9292,320.5999999
338.15,5.776103136,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9293,322.4999999
343.15,5.782285536,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9294,324.5
348.15,5.788429949,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9295,326.5000001
353.15,5.794841206,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9296,328.6000001
358.15,5.80121162,6,CCn1cc[n+](C)c1.F[B-](F)(F)F,9297,330.7
283.15,6.219197551,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9298,502.3000001
288.15,6.223766036,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9299,504.5999999
293.15,6.228313745,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9300,506.8999998
298.15,6.232840867,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9301,509.2000002
303.15,6.237347585,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9302,511.4999998
308.15,6.241834085,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9303,513.8000002
313.15,6.246300545,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9304,516.0999999
318.15,6.250940028,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9305,518.5000002
323.15,6.255558085,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9306,520.9000001
328.15,6.260154913,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9307,523.2999998
333.15,6.264730708,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9308,525.7000001
338.15,6.26928566,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9309,528.1000002
343.15,6.273819958,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9310,530.5
348.15,6.278521424,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9311,532.9999999
353.15,6.28320089,20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9312,535.5000001
