,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
6403,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,353.15,5110,0.301,60,51.1,0.301
6404,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,343.15,4380,0.301,60,43.8,0.301
6405,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,333.15,3820,0.301,60,38.2,0.301
6406,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,323.15,3170,0.301,60,31.7,0.301
6407,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,313.15,2650,0.301,60,26.5,0.301
6408,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,303.15,2150,0.301,60,21.5,0.301
6409,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.16,1100,0.301,145,11,0.301
6410,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,298.1,1999.6,0.301,66,19.996,0.301
6411,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.25,1892,0.3007,13,18.92,0.3007
6412,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.2,3924,0.300572216,14,39.24,0.300572216
6413,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,312.45,3270,0.300424363,102,32.7,0.300424363
6414,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,3000,0.3003,2,30,0.3003
6415,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,353.15,3990,0.3003,133,39.9,0.3003
6416,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],293.2,3031,0.300025238,46,30.31,0.300025238
6417,CCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,288.15,1492,0.3,3,14.92,0.3
6418,CC(=O)[O-].CC[n+]1ccn(C)c1,358.2,1498,0.3,10,14.98,0.3
6419,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,283.1,1100,0.3,14,11,0.3
6420,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,313.7,2540,0.3,22,25.4,0.3
6421,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,333.3,4010,0.3,22,40.1,0.3
6422,CCN(CC)c1c(N(CC)CC)c1=[N+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1500,0.3,29,15,0.3
6423,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.15,1930,0.3,56,19.3,0.3
6424,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.1,1500,0.3,18,15,0.3
6425,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,333.15,3000,0.3,27,30,0.3
6426,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,363.11,7776,0.3,60,77.76,0.3
6427,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,353.1,6722,0.3,60,67.22,0.3
6428,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,343.34,5776,0.3,60,57.76,0.3
6429,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,333.28,4860,0.3,60,48.6,0.3
6430,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,323.04,4005,0.3,60,40.05,0.3
6431,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,313.06,3230,0.3,60,32.3,0.3
6432,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,303.4,2590,0.3,60,25.9,0.3
6433,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,293.5,1980,0.3,60,19.8,0.3
6434,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,313.1,3290,0.3,89,32.9,0.3
6435,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,313.1,3290,0.3,89,32.9,0.3
6436,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],298.5,4180,0.3,92,41.8,0.3
6437,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],298.5,4180,0.3,92,41.8,0.3
