Tg/K,IL,Normalized SMILES
234,20,[P-](F)(F)(F)(F)(F)F.c1n(nnc1C[n+]1cn(cc1)C)CCCC
234,20,F[P-](F)(F)(F)(F)F.c1c(nnn1CCCC)C[n+]1cn(cc1)C
234,20,C(CCn1cc(C[n+]2ccn(c2)C)nn1)C.F[P-](F)(F)(F)(F)F
234,20,F[P-](F)(F)(F)(F)F.n1n(cc(C[n+]2ccn(c2)C)n1)CCCC
234,20,F[P-](F)(F)(F)(F)F.n1(cc[n+](Cc2cn(CCCC)nn2)c1)C
220,21,S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)(=O)=O.[n+]1(c(n(C)cc1)C)Cc1cn(nn1)CCCC
220,21,FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F.c1c(nnn1CCCC)C[n+]1c(C)n(cc1)C
220,21,C(CCC)n1cc(nn1)C[n+]1ccn(C)c1C.S(=O)(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O
220,21,C(C)CCn1nnc(c1)C[n+]1c(C)n(C)cc1.O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O
220,21,FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.n1(CCCC)nnc(C[n+]2c(n(C)cc2)C)c1
220,21,Cn1cc[n+](Cc2cn(CCCC)nn2)c1C.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O
220,21,Cc1[n+](Cc2nnn(CCCC)c2)ccn1C.FC(F)(F)S(=O)([N-]S(=O)(=O)C(F)(F)F)=O
220,21,S(=O)([N-]S(C(F)(F)F)(=O)=O)(=O)C(F)(F)F.c1(cn(nn1)CCCC)C[n+]1c(n(cc1)C)C
220,21,FC(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)(F)F.c1(C)n(C)cc[n+]1Cc1nnn(CCCC)c1
220,21,S([N-]S(=O)(C(F)(F)F)=O)(=O)(C(F)(F)F)=O.c1(C[n+]2ccn(C)c2C)cn(CCCC)nn1
214,22,C(n1nnc(c1)C[n+]1ccn(C)c1)CCC.O=S(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F
214,22,FC(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)F.n1nn(cc1C[n+]1cn(cc1)C)CCCC
214,22,FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.c1(C[n+]2cn(C)cc2)nnn(c1)CCCC
